Country,Nobel,Alcohol
United kingdom,19.315,11.6
Ireland,14.93,11.9
Switzerland,30.125,10.7
Austria,24.577,10.3
Germany,13.013,11.8
Norway,24.947,7.7
Denmark,24.695,11.4
Sweden,30.677,9.2
Finland,7.268,12.3
Belgium,8.85,11
The Netherlands,11.226,9.9
Russian Federation,1.603,15.1
Australia,24.577,12.2
Poland,3.108,12.5
United States,10.97,9.2
New Zealand,6.625,10.9
France,9.473,12.2
Czech Republic,4.742,13
Canada,6.4,10.2
Chile,1.114,9.6
Italy,3.345,6.7
Spain,1.735,11.2
Turkey,0.254,2
Portugal,1.932,12.9
Brazil,0.048,8.7
Japan,1.896,7.2
Mexico,0.236,7.2
China,0.065,6.7
