Country,Nobel,Chocolate
United kingdom,19.315,11
Ireland,14.93,9.6
Switzerland,30.125,9.5
Austria,24.577,7.5
Germany,13.013,7.5
Norway,24.947,6.9
Denmark,24.695,6.7
Sweden,30.677,5.6
Finland,7.268,5.5
Belgium,8.85,5.3
The Netherlands,11.226,5.2
Russian Federation,1.603,5
Australia,24.577,4.8
Poland,3.108,4.7
United States,10.97,4.6
New Zealand,6.625,4.3
France,9.473,4.2
Czech Republic,4.742,3.9
Canada,6.4,3.5
Chile,1.114,2.8
Italy,3.345,2.7
Spain,1.735,2.1
Turkey,0.254,1.6
Portugal,1.932,1.5
Brazil,0.048,1.5
Japan,1.896,1
Mexico,0.236,0.7
China,0.065,0.1
