Country,Nobel,Cigarettes
United kingdom,19.315,750
Ireland,14.93,1006
Switzerland,30.125,1722
Austria,24.577,1650
Germany,13.013,1045
Norway,24.947,534
Denmark,24.695,1413
Sweden,30.677,715
Finland,7.268,671
Belgium,8.85,1455
The Netherlands,11.226,801
Russian Federation,1.603,2786
Australia,24.577,1034
Poland,3.108,1586
United States,10.97,1028
New Zealand,6.625,579
France,9.473,854
Czech Republic,4.742,2125
Canada,6.4,809
Chile,1.114,860
Italy,3.345,1475
Spain,1.735,1757
Turkey,0.254,1399
Portugal,1.932,1114
Brazil,0.048,504
Japan,1.896,1841
Mexico,0.236,371
China,0.065,1711
