Country,Nobel,Milk
United kingdom,19.315,241.47
Ireland,14.93,247.17
Switzerland,30.125,315.78
Austria,24.577,235.11
Germany,13.013,247.24
Norway,24.947,261.52
Denmark,24.695,295.62
Sweden,30.677,355.86
Finland,7.268,361.19
Belgium,8.85,383.47
The Netherlands,11.226,320.15
Russian Federation,1.603,172.74
Australia,24.577,230.92
Poland,3.108,198.51
United States,10.97,253.8
New Zealand,6.625,103.79
France,9.473,260.48
Czech Republic,4.742,195.47
Canada,6.4,206.83
Chile,1.114,93
Italy,3.345,256.1
Spain,1.735,177.49
Turkey,0.254,138.71
Portugal,1.932,222.94
Brazil,0.048,124.61
Mexico,0.236,115.18
